sentence,label,source_title,source_url,source_license,label_note
"A young pioneer's diary entry for July 4th, 1859 on Oregon Trail records having apple dumplings for supper that evening.",CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
"The first Macs with Apple silicon, built around the Apple M1, were unveiled on November 10, 2020.",PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
"Plans for a services bundle had been in development at Apple for years, as part of the company's efforts to increase its revenue from services and decrease its reliance on hardware sales.",PNN,Apple One,https://en.wikipedia.org/wiki/Apple_One,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple One' topic page.
"In February 2025, iCloud+ introduced a new app called Apple Invites. == Features == iCloud is a free service, and comes with 5 GB of cloud storage.",PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
"At WWDC 2020, Apple announced the transition of the Mac to its own chips and adopted the name Apple silicon for its chip lineup.",PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
Commercial versions of apple sauce are readily available at supermarkets and other retail stores. == Preparation == Apple sauce is made by cooking apples with water or apple cider (fresh apple juice).,CNN,Apple sauce,https://en.wikipedia.org/wiki/Apple_sauce,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple sauce' topic page.
Apple Podcasts (known on Apple's devices as system feature Podcasts) is an audio streaming service and media player application developed by Apple for playing podcasts.,PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
This can be mitigated in a sense by using an Apple Watch to split the Express Mode passes between multiple devices.,PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
"Throughout 2019, Apple continued to build out its unscripted content team, with Molly Thompson hired as Head of Documentaries in April.",PNN,Apple TV (streaming service),https://en.wikipedia.org/wiki/Apple_TV_%28streaming_service%29,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple TV (streaming service)' topic page.
"The fruit for the pie can be fresh, canned, or reconstituted from dried apples in the case of dried apple pie.",CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
It can be accessed through Apple's website and through the Apple TV app.,PNN,Apple TV (streaming service),https://en.wikipedia.org/wiki/Apple_TV_%28streaming_service%29,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple TV (streaming service)' topic page.
The rapid development of generative artificial intelligence and the release of ChatGPT in late 2022 reportedly blindsided Apple executives and forced the company to refocus its efforts on AI.,PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
"In the interim, Apple worked with LG to design the Thunderbolt 3-enabled UltraFine line, consisting of 21.5 in (550 mm) (later revised to 24 in (610 mm)) 4K and 27-inch 5K displays.",PNN,Apple Studio Display,https://en.wikipedia.org/wiki/Apple_Studio_Display,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Studio Display' topic page.
In 2025 it was reported that Apple Podcasts had regained market share and had a 37.4% market share in the U.S. based on views and downloads of the top 250 podcasts in the U.S.,PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
"Pathogens can be spread in a number of ways, such as contamination where the fruit is grown, being carried in contaminated containers, or due to poor handling and washing. == Composition and nutrition == Apple juice is 88% water and 11% carbohydrates (including 10% sugars), with negligible content of protein or fat.",CNN,Apple juice,https://en.wikipedia.org/wiki/Apple_juice,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple juice' topic page.
Apple and raisin filling is popular among Jews.,CNN,Apple strudel,https://en.wikipedia.org/wiki/Apple_strudel,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple strudel' topic page.
"It was renamed ""Apple Wallet"" with the release of iOS 9 on September 16, 2015. == Features == Wallet displays Aztec, PDF417, and QR 2D barcodes and Code 128 1D barcodes beginning with iOS 9.",PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
Apple sauce is inexpensive and is widely consumed in North America and some parts of Europe.,CNN,Apple sauce,https://en.wikipedia.org/wiki/Apple_sauce,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple sauce' topic page.
"The Welsh apple cake, Tiesen Faa and can be eaten as with a cup of tea or as a dessert with custard or cream, while the Welsh Harvest cake resembles the Irish apple cake but has the addition of sultanas and cinnamon.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
The Mac lineup completed its transition to Apple silicon in June 2023.,PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
"Apple pie in the US is often served à la mode, that is, topped with ice cream.",CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
"Apple TV, formerly known as Apple TV+, is a subscription over-the-top streaming service owned by Apple.",PNN,Apple TV (streaming service),https://en.wikipedia.org/wiki/Apple_TV_%28streaming_service%29,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple TV (streaming service)' topic page.
"Massachusetts makes an attempt to at least differentiate fresh raw cider and processed, cooked apple juice; according to its Department of Agricultural Resources, apple juice and apple cider are both fruit beverages made from apples, but there is a difference between the two.",CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
"In much of the U.S. and Canada, the fresh variety is often referred to as ""apple cider"" with ""cider"" alone referring to the alcoholic variety.",CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
"Apple pie is a significant dessert in many countries of Europe, Canada, Australia, New Zealand, and the United States.",CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
"The concentration of sugar gives apple butter a much longer shelf life as a preserve than apple sauce. == Background == The roots of apple butter lie in Limburg (Belgium and the Netherlands) and Rhineland (Germany), conceived during the Middle Ages, when the first monasteries (with large orchards) appeared.",CNN,Apple butter,https://en.wikipedia.org/wiki/Apple_butter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple butter' topic page.
"Pass changes can be pushed via the Apple Push Notification service by the pass provider, or manually updated by the user themselves.",PNN,Apple Wallet,https://en.wikipedia.org/wiki/Apple_Wallet,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Wallet' topic page.
"Formerly, sour apples were usually used to make savory apple sauce.",CNN,Apple sauce,https://en.wikipedia.org/wiki/Apple_sauce,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple sauce' topic page.
The Studio Display name was previously used for a line of displays sold by Apple from 1998 to 2004.,PNN,Apple Studio Display,https://en.wikipedia.org/wiki/Apple_Studio_Display,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Studio Display' topic page.
"In 2016, Apple replaced Azure with Google Cloud Platform.",PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
"In October 2016, Apple CEO Tim Cook said that television is ""of intense interest to me and other people here"", and added that Apple has ""started focusing on some original content"", which he called ""a great opportunity for us both from a creation point of view and an ownership point of view.",PNN,Apple TV (streaming service),https://en.wikipedia.org/wiki/Apple_TV_%28streaming_service%29,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple TV (streaming service)' topic page.
"Apple One is a subscription service that bundles several premium services from Apple into tiered packages, first offered in late 2020.",PNN,Apple One,https://en.wikipedia.org/wiki/Apple_One,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple One' topic page.
"Apple One subscription bundles are designed to entice users to subscribe to other services they might not otherwise consider, such as Apple Arcade or Apple News+, by offering them together at a discounted price.",PNN,Apple One,https://en.wikipedia.org/wiki/Apple_One,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple One' topic page.
"In 1726 Nicholas Amhurst complained about apple dumplings at Oxford, saying ""nothing can be expected from only rot-gut small beer, and heavy apple-dumplings, but stupidity, sleepiness, and indolence."" Two recipes for apple dumplings were published in Hannah Glasse's 1747 cookbook.",CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
"Since then, the service has become the home to more critically acclaimed content: between September 2021 and March 2022, Apple TV netted a Primetime Emmy Award for Outstanding Comedy Series with Ted Lasso and the Academy Award for Best Picture with CODA, the first Best Picture win for a film distributed by a streaming service.",PNN,Apple TV (streaming service),https://en.wikipedia.org/wiki/Apple_TV_%28streaming_service%29,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple TV (streaming service)' topic page.
"Relying on a combination of on-device and server processing, it was announced on June 10, 2024, at the 2024 Worldwide Developers Conference, as a built-in feature of Apple's iOS 18, iPadOS 18, and macOS Sequoia, which were announced alongside Apple Intelligence.",PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
"The aforementioned lattice serves as a heatsink: Apple stated that this design gave the display sufficient thermal management to operate ""indefinitely"" at 1000 nits of brightness across the entire screen, and up to 1600 nits in an environment cooler than 25 °C (77 °F).",PNN,Pro Display XDR,https://en.wikipedia.org/wiki/Pro_Display_XDR,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Pro Display XDR' topic page.
"Hence: ""potato fritter"", ""pineapple fritter"", ""apple fritter"", ""pea fritter"", etc.",CNN,Fritter,https://en.wikipedia.org/wiki/Fritter,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Fritter' topic page.
"Apple Podcasts was added with tvOS 9.1.1 released on January 26, 2016.",PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
Apple began supporting podcasts with iTunes 4.9 released in June 2005 and launched its first standalone mobile app in 2012.,PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
