Sentence,Meaning,Tag
My friend resigned from Apple's headquarters in California.,회사,PNN
She read news about Apple Inc. today.,회사,PNN
She wanted the apple for a snack.,과일,CNN
We needed a green apple in the kitchen.,과일,CNN
The investor trusted Apple Inc. today.,회사,PNN
She read news about Apple Inc. in California.,회사,PNN
They bought shares of Apple last year.,회사,PNN
Alice sold a green apple from the market.,과일,CNN
I bought a fresh apple in the kitchen.,과일,CNN
She enjoyed a delicious apple from the market.,과일,CNN
The child bought a red apple yesterday.,과일,CNN
She dropped a fresh apple this morning.,과일,CNN
The analyst worked at Apple for a new project.,회사,PNN
The farmer sold a big apple this morning.,과일,CNN
Tom washed a sour apple for a snack.,과일,CNN
Some users praised Apple's headquarters today.,회사,PNN
The farmer needed a sweet apple yesterday.,과일,CNN
We needed an apple from the market.,과일,CNN
My mother peeled an apple from the market.,과일,CNN
The investor analyzed the Apple store recently.,회사,PNN
The chef ate a green apple from the tree.,과일,CNN
He criticized Apple Inc. with high expectations.,회사,PNN
They bought the apple for a snack.,과일,CNN
They analyzed Apple yesterday.,회사,PNN
The investor resigned from the Apple store recently.,회사,PNN
The child liked the apple yesterday.,과일,CNN
The tech blogger visited Apple last year.,회사,PNN
He washed a juicy apple this morning.,과일,CNN
We trusted Apple's headquarters in the news.,회사,PNN
She bought shares of Apple's headquarters recently.,회사,PNN
The analyst resigned from the Apple store yesterday.,회사,PNN
Tom ate a big apple from the tree.,과일,CNN
My brother needed a green apple for dessert.,과일,CNN
Many people read news about the Apple store recently.,회사,PNN
They bought shares of the Apple store today.,회사,PNN
The farmer enjoyed a red apple this morning.,과일,CNN
They analyzed Apple with high expectations.,회사,PNN
She enjoyed a green apple for a snack.,과일,CNN
She invested in the Apple store in the news.,회사,PNN
The tech blogger read news about Apple Inc. today.,회사,PNN
The analyst analyzed Apple's headquarters last year.,회사,PNN
Tom picked a sour apple.,과일,CNN
My friend praised Apple yesterday.,회사,PNN
Some users read news about the Apple store today.,회사,PNN
He washed a big apple from the tree.,과일,CNN
My friend analyzed Apple this week.,회사,PNN
Some users criticized Apple today.,회사,PNN
We liked a fresh apple yesterday.,과일,CNN
He bought shares of Apple Inc. this week.,회사,PNN
The investor invested in Apple's headquarters with high expectations.,회사,PNN
I dropped the apple for a snack.,과일,CNN
They bought an apple.,과일,CNN
Many people followed Apple in the news.,회사,PNN
The analyst invested in Apple Inc. in the news.,회사,PNN
We praised Apple online.,회사,PNN
She resigned from Apple yesterday.,회사,PNN
I invested in the Apple store in California.,회사,PNN
The farmer dropped a red apple today.,과일,CNN
He enjoyed a juicy apple for a snack.,과일,CNN
They criticized Apple's headquarters today.,회사,PNN
He analyzed Apple Inc. today.,회사,PNN
My brother dropped a red apple.,과일,CNN
They praised Apple Inc. for a new project.,회사,PNN
Some users followed Apple with high expectations.,회사,PNN
The analyst invested in Apple Inc. online.,회사,PNN
She ate a sour apple from the market.,과일,CNN
The analyst bought shares of the Apple store with high expectations.,회사,PNN
We invested in Apple with high expectations.,회사,PNN
She read news about Apple in the news.,회사,PNN
The tech blogger criticized the Apple store in California.,회사,PNN
She bought a big apple from the market.,과일,CNN
They read news about Apple with high expectations.,회사,PNN
I sold a sour apple.,과일,CNN
They picked the apple in the kitchen.,과일,CNN
They washed a juicy apple this morning.,과일,CNN
He read news about the Apple store last year.,회사,PNN
Alice enjoyed a juicy apple for dessert.,과일,CNN
The chef needed an apple in the kitchen.,과일,CNN
The child picked a fresh apple yesterday.,과일,CNN
They wanted a big apple for a snack.,과일,CNN
They worked at Apple recently.,회사,PNN
Alice liked an apple today.,과일,CNN
The farmer liked a big apple from the market.,과일,CNN
