sentence,label,source_title,source_url,source_license,label_note
"Louis Hughes, born a black slave in Virginia in 1832, recorded an account of a Fourth of July barbecue for the slaves with roasted pigs and sheep, but apple dumplings and peach cobbler were still the favorites ""relished by all the slaves"".",CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
"In 1946 George Orwell was commissioned to write an essay on British Cuisine for an overseas audience, later rejected by the British Council ""amid anxiety about postwar austerity"", and called out boiled apple dumplings as an example of the ""greatest glories of British cookery."" Apple dumplings were Thomas Edison's favorite food.",CNN,Apple dumpling,https://en.wikipedia.org/wiki/Apple_dumpling,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple dumpling' topic page.
"In the United States, unfiltered fresh apple juice is made by smaller operations in areas of high apple production, in the form of unclarified apple cider.",CNN,Apple juice,https://en.wikipedia.org/wiki/Apple_juice,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple juice' topic page.
"In the US, it is also called apple crumble, a word which refers to a different dessert in the UK, Canada, Australia, and New Zealand.",CNN,Apple crisp,https://en.wikipedia.org/wiki/Apple_crisp,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple crisp' topic page.
"Apple silicon is a series of system on a chip (SoC) and system in a package (SiP) designs by Apple Inc., primarily using the ARM architecture, along with a range of more specialized chips for other devices and wireless connectivity functions.",PNN,Apple silicon,https://en.wikipedia.org/wiki/Apple_silicon,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple silicon' topic page.
Apple TV initially experienced poor growth and low subscriber numbers relative to other competing services during its first full year in 2020.,PNN,Apple TV (streaming service),https://en.wikipedia.org/wiki/Apple_TV_%28streaming_service%29,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple TV (streaming service)' topic page.
"On Guernsey, they have a suet based apple cake called Gâche Melée. === German === Apple is a common fruit in German baking.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
"Despite their relatively recent invention, apple crisp and apple crumble have each become culinary traditions in their respective countries, particularly during autumn when apples are plentiful.",CNN,Apple crisp,https://en.wikipedia.org/wiki/Apple_crisp,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple crisp' topic page.
"Apple cider should not be confused with the alcoholic beverage known as cider in the rest of the world, which is called ""hard cider"" in the US.",CNN,Apple cider,https://en.wikipedia.org/wiki/Apple_cider,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cider' topic page.
"In the years after its release, Apple engaged in efforts to ensure its artificial intelligence operations remained covert; according to University of California, Berkeley, professor Trevor Darrell, the company's secrecy deterred graduate students.",PNN,Apple Intelligence,https://en.wikipedia.org/wiki/Apple_Intelligence,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Intelligence' topic page.
Users can also share their GPS locations to others with Apple devices and view the location of others who choose to share their location.,PNN,ICloud,https://en.wikipedia.org/wiki/ICloud,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'ICloud' topic page.
"Apples are also used in other cakes to add moisture and sweetness, often as a partial substitute for refined sugar. == Varieties == === British & Irish === Regions of Great Britain and Ireland have the ideal climate for apple growing, making apple cake a common dessert with many regional varieties throughout.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
"At these prices, a user who would intend to pay for each component service contained in the Individual bundle would save roughly $6 monthly by instead paying for Apple One at the Individual tier, while under the same premise, a Family tier subscriber would save $8 per month, and a Premier tier subscriber roughly $25 per month.",PNN,Apple One,https://en.wikipedia.org/wiki/Apple_One,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple One' topic page.
"The Irish apple cake is different from their English counterparts, in that slices of apple are sandwich within the sponge mixture.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
An apple pie is a fruit pie in which the principal filling is apples.,CNN,Apple pie,https://en.wikipedia.org/wiki/Apple_pie,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple pie' topic page.
"In April 2020, Apple Podcasts surpassed one million shows.",PNN,Apple Podcasts,https://en.wikipedia.org/wiki/Apple_Podcasts,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Podcasts' topic page.
"Additionally, the files can be downloaded to Apple Books through Safari or Apple Mail.",PNN,Apple Books,https://en.wikipedia.org/wiki/Apple_Books,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Books' topic page.
The site also hosts the Apple Developer Forums.,PNN,Apple Developer,https://en.wikipedia.org/wiki/Apple_Developer,CC BY-SA 4.0,Provisional PNN: sentence retrieved from the 'Apple Developer' topic page.
"The Versunkener Apfelkuchen (sunken apple cake) is an apple cake that has apples halves, usually peeled and hasselbacked, sunk into the sponge cake batter.",CNN,Apple cake,https://en.wikipedia.org/wiki/Apple_cake,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple cake' topic page.
American-style apple sauce is not widely available in Britain.,CNN,Apple sauce,https://en.wikipedia.org/wiki/Apple_sauce,CC BY-SA 4.0,Provisional CNN: sentence retrieved from the 'Apple sauce' topic page.
