Sentence,Meaning,Tag
I ate an apple after lunch.,과일,CNN
She bought a red apple at the market.,과일,CNN
The apple was sweet and crisp.,과일,CNN
He peeled the apple before eating it.,과일,CNN
An apple fell from the tree.,과일,CNN
My mother baked an apple pie.,과일,CNN
Please wash the apple carefully.,과일,CNN
The child shared an apple with her friend.,과일,CNN
I packed an apple in my lunchbox.,과일,CNN
This apple has a small brown spot.,과일,CNN
We picked an apple from the orchard.,과일,CNN
Can you slice the apple for me?,과일,CNN
Apple announced a new iPhone today.,회사,PNN
She works for Apple in Seoul.,회사,PNN
Apple released its quarterly earnings report.,회사,PNN
The Apple store opens at ten.,회사,PNN
He bought a laptop from Apple.,회사,PNN
Steve Jobs co-founded Apple.,회사,PNN
Apple designs both hardware and software.,회사,PNN
The news discussed Apple stock.,회사,PNN
Apple introduced a new operating system.,회사,PNN
They visited the Apple headquarters.,회사,PNN
Apple is one of the largest technology companies.,회사,PNN
I updated my Apple account password.,회사,PNN
The farmer placed an apple in each basket.,과일,CNN
Her apple juice was cold.,과일,CNN
The recipe calls for one chopped apple.,과일,CNN
He carried an apple to school.,과일,CNN
I found an apple under the tree.,과일,CNN
The ripe apple smelled wonderful.,과일,CNN
She chose the largest apple.,과일,CNN
We made sauce from fresh apple pieces.,과일,CNN
An apple rolled across the table.,과일,CNN
The dog tried to steal my apple.,과일,CNN
Put the apple beside the sandwich.,과일,CNN
Their apple harvest was excellent.,과일,CNN
I prefer a crunchy apple.,과일,CNN
She sprinkled cinnamon on the apple.,과일,CNN
The teacher gave every student an apple.,과일,CNN
My brother bit into an apple.,과일,CNN
That apple looks ready to eat.,과일,CNN
The basket contained pears and an apple.,과일,CNN
He dropped the apple on the floor.,과일,CNN
We need apple filling for the tart.,과일,CNN
She offered me half an apple.,과일,CNN
The apple skin was shiny.,과일,CNN
I can smell the apple pie baking.,과일,CNN
They planted an apple tree last spring.,과일,CNN
An apple is a healthy snack.,과일,CNN
The apple seeds are small and dark.,과일,CNN
Please remove the core from the apple.,과일,CNN
I ordered apple crumble for dessert.,과일,CNN
Apple launched a new tablet.,회사,PNN
The Apple CEO spoke at the event.,회사,PNN
Apple employees tested the software.,회사,PNN
I use Apple Music every day.,회사,PNN
The Apple website is unavailable.,회사,PNN
Apple sells computers worldwide.,회사,PNN
She contacted Apple customer support.,회사,PNN
Apple devices use the iOS system.,회사,PNN
The report compared Apple with Samsung.,회사,PNN
Apple opened another retail store.,회사,PNN
He received an email from Apple.,회사,PNN
Apple presented its newest products.,회사,PNN
The Apple logo appears on the box.,회사,PNN
Investors follow Apple closely.,회사,PNN
Apple acquired a small startup.,회사,PNN
The Apple developer conference begins Monday.,회사,PNN
Apple updated the iPad software.,회사,PNN
Her Apple ID needs verification.,회사,PNN
Apple products are expensive.,회사,PNN
The Apple app crashed this morning.,회사,PNN
Our class discussed the history of Apple.,회사,PNN
Apple manufactures its own processors.,회사,PNN
She visited an Apple retail shop.,회사,PNN
Apple services include cloud storage.,회사,PNN
The Apple board approved the plan.,회사,PNN
Apple promoted its new headphones.,회사,PNN
He subscribed to Apple TV.,회사,PNN
Apple fixed the security problem.,회사,PNN
She packed an apple for the trip.,과일,CNN
The apple was juicy after being chilled.,과일,CNN
We served apple slices with cheese.,과일,CNN
He chose an apple from the bowl.,과일,CNN
The apple tart smelled delicious.,과일,CNN
I cut the apple into thin pieces.,과일,CNN
Her baby held a small apple.,과일,CNN
The apple crop suffered from frost.,과일,CNN
They added apple chunks to oatmeal.,과일,CNN
An apple landed near the fence.,과일,CNN
The apple tasted better than the pear.,과일,CNN
She brought an apple to the picnic.,과일,CNN
I saved the last apple for tomorrow.,과일,CNN
The apple basket was full.,과일,CNN
He prefers apple cider in autumn.,과일,CNN
An apple provides natural sweetness.,과일,CNN
The apple was too hard to bite.,과일,CNN
We found an apple in the garden.,과일,CNN
She made apple muffins for breakfast.,과일,CNN
The apple stem snapped easily.,과일,CNN
I wrapped the apple in a napkin.,과일,CNN
They sold apple jam at the fair.,과일,CNN
An apple can be red or green.,과일,CNN
The apple flavor was mild.,과일,CNN
He washed an apple under running water.,과일,CNN
She put apple cubes in yogurt.,과일,CNN
The apple fell into the grass.,과일,CNN
I ate the apple slowly.,과일,CNN
We picked apple blossoms in the spring.,과일,CNN
That apple has a pleasant aroma.,과일,CNN
Apple announced a partnership with a bank.,회사,PNN
The Apple keynote attracted many viewers.,회사,PNN
Apple engineers improved the camera.,회사,PNN
She purchased an Apple computer.,회사,PNN
Apple published a software update.,회사,PNN
The Apple campus is in California.,회사,PNN
Apple offers educational discounts.,회사,PNN
He repaired his Apple laptop.,회사,PNN
Apple executives met with reporters.,회사,PNN
The Apple subscription renewed automatically.,회사,PNN
Apple Pay works at this cafe.,회사,PNN
They streamed a film on Apple TV.,회사,PNN
Apple introduced a faster chip.,회사,PNN
The Apple team answered questions.,회사,PNN
Apple announced a price change.,회사,PNN
She compared Apple phones online.,회사,PNN
Apple built a new data center.,회사,PNN
The Apple charger is missing.,회사,PNN
Apple sold millions of devices.,회사,PNN
His Apple keyboard stopped working.,회사,PNN
Apple updated its terms of service.,회사,PNN
The Apple investor call starts soon.,회사,PNN
Apple uses a closed ecosystem.,회사,PNN
She registered the device with Apple.,회사,PNN
Apple released a public beta.,회사,PNN
The Apple speaker sounds clear.,회사,PNN
Apple expanded its services business.,회사,PNN
He reads Apple news every morning.,회사,PNN
Apple added new emoji to the system.,회사,PNN
The Apple warranty expires next month.,회사,PNN
Apple improved battery performance.,회사,PNN
The apple was still warm from the sun.,과일,CNN
She chose an apple for her snack.,과일,CNN
We used apple peel in the compost.,과일,CNN
He found a tiny apple on the branch.,과일,CNN
The apple filling was homemade.,과일,CNN
I placed the apple on a plate.,과일,CNN
They enjoyed apple pancakes on Sunday.,과일,CNN
An apple rolled out of the bag.,과일,CNN
The apple was crisp and refreshing.,과일,CNN
She bought apple butter at the market.,과일,CNN
Apple displayed the new model online.,회사,PNN
The Apple update installed overnight.,회사,PNN
Apple opened preorders this week.,회사,PNN
She backed up her files to Apple iCloud.,회사,PNN
Apple redesigned the settings menu.,회사,PNN
The Apple presentation lasted an hour.,회사,PNN
Apple hired more researchers.,회사,PNN
He watched an Apple tutorial.,회사,PNN
Apple announced a new store location.,회사,PNN
