sentence,label
"A young pioneer's diary entry for July 4th, 1859 on Oregon Trail records having apple dumplings for supper that evening.",CNN
"The first Macs with Apple silicon, built around the Apple M1, were unveiled on November 10, 2020.",PNN
"Plans for a services bundle had been in development at Apple for years, as part of the company's efforts to increase its revenue from services and decrease its reliance on hardware sales.",PNN
"In February 2025, iCloud+ introduced a new app called Apple Invites. == Features == iCloud is a free service, and comes with 5 GB of cloud storage.",PNN
"At WWDC 2020, Apple announced the transition of the Mac to its own chips and adopted the name Apple silicon for its chip lineup.",PNN
Commercial versions of apple sauce are readily available at supermarkets and other retail stores. == Preparation == Apple sauce is made by cooking apples with water or apple cider (fresh apple juice).,CNN
Apple Podcasts (known on Apple's devices as system feature Podcasts) is an audio streaming service and media player application developed by Apple for playing podcasts.,PNN
This can be mitigated in a sense by using an Apple Watch to split the Express Mode passes between multiple devices.,PNN
"Throughout 2019, Apple continued to build out its unscripted content team, with Molly Thompson hired as Head of Documentaries in April.",PNN
"The fruit for the pie can be fresh, canned, or reconstituted from dried apples in the case of dried apple pie.",CNN
It can be accessed through Apple's website and through the Apple TV app.,PNN
The rapid development of generative artificial intelligence and the release of ChatGPT in late 2022 reportedly blindsided Apple executives and forced the company to refocus its efforts on AI.,PNN
"In the interim, Apple worked with LG to design the Thunderbolt 3-enabled UltraFine line, consisting of 21.5 in (550 mm) (later revised to 24 in (610 mm)) 4K and 27-inch 5K displays.",PNN
In 2025 it was reported that Apple Podcasts had regained market share and had a 37.4% market share in the U.S. based on views and downloads of the top 250 podcasts in the U.S.,PNN
"Pathogens can be spread in a number of ways, such as contamination where the fruit is grown, being carried in contaminated containers, or due to poor handling and washing. == Composition and nutrition == Apple juice is 88% water and 11% carbohydrates (including 10% sugars), with negligible content of protein or fat.",CNN
Apple and raisin filling is popular among Jews.,CNN
"It was renamed ""Apple Wallet"" with the release of iOS 9 on September 16, 2015. == Features == Wallet displays Aztec, PDF417, and QR 2D barcodes and Code 128 1D barcodes beginning with iOS 9.",PNN
Apple sauce is inexpensive and is widely consumed in North America and some parts of Europe.,CNN
"The Welsh apple cake, Tiesen Faa and can be eaten as with a cup of tea or as a dessert with custard or cream, while the Welsh Harvest cake resembles the Irish apple cake but has the addition of sultanas and cinnamon.",CNN
The Mac lineup completed its transition to Apple silicon in June 2023.,PNN
"Apple pie in the US is often served à la mode, that is, topped with ice cream.",CNN
"Apple TV, formerly known as Apple TV+, is a subscription over-the-top streaming service owned by Apple.",PNN
"Massachusetts makes an attempt to at least differentiate fresh raw cider and processed, cooked apple juice; according to its Department of Agricultural Resources, apple juice and apple cider are both fruit beverages made from apples, but there is a difference between the two.",CNN
"In much of the U.S. and Canada, the fresh variety is often referred to as ""apple cider"" with ""cider"" alone referring to the alcoholic variety.",CNN
"Apple pie is a significant dessert in many countries of Europe, Canada, Australia, New Zealand, and the United States.",CNN
"The concentration of sugar gives apple butter a much longer shelf life as a preserve than apple sauce. == Background == The roots of apple butter lie in Limburg (Belgium and the Netherlands) and Rhineland (Germany), conceived during the Middle Ages, when the first monasteries (with large orchards) appeared.",CNN
"Pass changes can be pushed via the Apple Push Notification service by the pass provider, or manually updated by the user themselves.",PNN
"Formerly, sour apples were usually used to make savory apple sauce.",CNN
The Studio Display name was previously used for a line of displays sold by Apple from 1998 to 2004.,PNN
"In 2016, Apple replaced Azure with Google Cloud Platform.",PNN
"In October 2016, Apple CEO Tim Cook said that television is ""of intense interest to me and other people here"", and added that Apple has ""started focusing on some original content"", which he called ""a great opportunity for us both from a creation point of view and an ownership point of view.",PNN
"Apple One is a subscription service that bundles several premium services from Apple into tiered packages, first offered in late 2020.",PNN
"Apple One subscription bundles are designed to entice users to subscribe to other services they might not otherwise consider, such as Apple Arcade or Apple News+, by offering them together at a discounted price.",PNN
"In 1726 Nicholas Amhurst complained about apple dumplings at Oxford, saying ""nothing can be expected from only rot-gut small beer, and heavy apple-dumplings, but stupidity, sleepiness, and indolence."" Two recipes for apple dumplings were published in Hannah Glasse's 1747 cookbook.",CNN
"Since then, the service has become the home to more critically acclaimed content: between September 2021 and March 2022, Apple TV netted a Primetime Emmy Award for Outstanding Comedy Series with Ted Lasso and the Academy Award for Best Picture with CODA, the first Best Picture win for a film distributed by a streaming service.",PNN
"Relying on a combination of on-device and server processing, it was announced on June 10, 2024, at the 2024 Worldwide Developers Conference, as a built-in feature of Apple's iOS 18, iPadOS 18, and macOS Sequoia, which were announced alongside Apple Intelligence.",PNN
"The aforementioned lattice serves as a heatsink: Apple stated that this design gave the display sufficient thermal management to operate ""indefinitely"" at 1000 nits of brightness across the entire screen, and up to 1600 nits in an environment cooler than 25 °C (77 °F).",PNN
"Hence: ""potato fritter"", ""pineapple fritter"", ""apple fritter"", ""pea fritter"", etc.",CNN
"Apple Podcasts was added with tvOS 9.1.1 released on January 26, 2016.",PNN
Apple began supporting podcasts with iTunes 4.9 released in June 2005 and launched its first standalone mobile app in 2012.,PNN
"The Send Last Location feature, which utilizes iCloud, can be optionally enabled to automatically send the location of the device to Apple when the battery is low. === iCloud Keychain === iCloud Keychain is a password manager developed by Apple that syncs passwords across devices and suggests secure ones when creating new accounts.",PNN
Apple sauce (in American English usually the closed compound applesauce) is a purée (not necessarily served as a true sauce) made of apples.,CNN
"Fresh cider is opaque due to fine apple particles in suspension and generally tangier than commercially cooked and filtered apple juice, but this depends somewhat on the variety of apples used.",CNN
"In areas of the American South, the production of apple butter is a family event, due to the large amount of labor necessary to produce apple butter in large quantities.",CNN
"Apple strudel can be accompanied by tea, coffee or even champagne, and is one of the most common treats at Viennese cafés. == See also == == References ==",CNN
"Apple butter may also be used on sandwiches to add an interesting flavor, but is not as commonly used as in historical times.",CNN
Apple strudel is considered to be the national dish of Austria along with Wiener Schnitzel and Tafelspitz.,CNN
This improves manufacturing yield and allows Apple to offer products at different price points without designing separate chips for each tier.,PNN
"On macOS, Apple Intelligence is available only on Apple silicon Mac computers; Intel-based Mac computers are not supported.",PNN
Siri's investments in artificial intelligence was criticized both by reviewers and internally at Apple for lagging behind other AI assistants.,PNN
"It was announced at the Apple Worldwide Developers Conference on June 3, 2019, along with the 2019 Mac Pro.",PNN
"Apple silicon is a series of system on a chip (SoC) and system in a package (SiP) designs by Apple Inc., primarily using the ARM architecture, along with a range of more specialized chips for other devices and wireless connectivity functions.",PNN
Vacuum sealing and additional filtering extend the shelf life of apple juice.,CNN
"In 2016, Apple released the iPhone 7, along with Apple Pay support in Japan.",PNN
"In either form, apple cider is seasonally produced in autumn.",CNN
"In Yorkshire, Wilfa apple cake is served on St Wilfa's day, and although called a cake, it is made with shortcrust pastry topped with Wensleydale cheese.",CNN
